game_id,game_type_id,WEEK,HOME_TEAM_ID,AWAY_TEAM_ID,created_date,create_user
131,1,9,7,30,2018-10-15 7:04,mortimer
253,1,17,2,31,2018-10-15 7:04,mortimer
110,1,8,17,8,2018-10-15 7:04,mortimer
150,1,11,19,31,2018-10-15 7:04,mortimer
7,1,1,21,26,2018-10-15 7:04,mortimer
129,1,9,21,17,2018-10-15 7:04,mortimer
108,1,8,28,10,2018-10-15 7:04,mortimer
169,1,12,7,10,2018-10-15 7:04,mortimer
26,1,2,6,1,2018-10-15 7:04,mortimer
148,1,11,24,8,2018-10-15 7:04,mortimer
5,1,1,17,14,2018-10-15 7:04,mortimer
127,1,9,15,9,2018-10-15 7:04,mortimer
188,1,13,25,14,2018-10-15 7:04,mortimer
167,1,12,20,19,2018-10-15 7:04,mortimer
24,1,2,11,9,2018-10-15 7:04,mortimer
146,1,10,19,13,2018-10-15 7:04,mortimer
3,1,1,24,7,2018-10-15 7:04,mortimer
186,1,13,18,15,2018-10-15 7:04,mortimer
43,1,3,27,5,2018-10-15 7:04,mortimer
165,1,12,31,26,2018-10-15 7:04,mortimer
22,1,2,27,3,2018-10-15 7:04,mortimer
144,1,10,29,25,2018-10-15 7:04,mortimer
205,1,14,31,1,2018-10-15 7:04,mortimer
1,1,1,1,19,2018-10-15 7:04,mortimer
62,1,5,19,20,2018-10-15 7:04,mortimer
184,1,13,20,32,2018-10-15 7:04,mortimer
41,1,3,9,4,2018-10-15 7:04,mortimer
163,1,12,13,18,2018-10-15 7:04,mortimer
224,1,15,13,3,2018-10-15 7:04,mortimer
20,1,2,8,24,2018-10-15 7:04,mortimer
203,1,14,29,21,2018-10-15 7:04,mortimer
60,1,4,23,3,2018-10-15 7:04,mortimer
182,1,13,16,3,2018-10-15 7:04,mortimer
39,1,3,2,22,2018-10-15 7:04,mortimer
222,1,15,1,12,2018-10-15 7:04,mortimer
18,1,2,26,23,2018-10-15 7:04,mortimer
79,1,6,17,30,2018-10-15 7:04,mortimer
201,1,14,26,2,2018-10-15 7:04,mortimer
58,1,4,20,28,2018-10-15 7:04,mortimer
180,1,13,9,2,2018-10-15 7:04,mortimer
241,1,17,24,17,2018-10-15 7:04,mortimer
37,1,3,31,11,2018-10-15 7:04,mortimer
98,1,7,9,27,2018-10-15 7:04,mortimer
220,1,15,6,30,2018-10-15 7:04,mortimer
77,1,6,22,4,2018-10-15 7:04,mortimer
199,1,14,9,22,2018-10-15 7:04,mortimer
260,2,1,23,10,2018-10-15 7:04,mortimer
56,1,4,14,24,2018-10-15 7:04,mortimer
239,1,16,29,1,2018-10-15 7:04,mortimer
96,1,7,13,24,2018-10-15 7:04,mortimer
218,1,15,5,9,2018-10-15 7:04,mortimer
75,1,5,7,15,2018-10-15 7:04,mortimer
258,2,1,16,5,2018-10-15 7:04,mortimer
54,1,4,5,32,2018-10-15 7:04,mortimer
115,1,8,21,25,2018-10-15 7:04,mortimer
237,1,16,14,8,2018-10-15 7:04,mortimer
94,1,7,25,1,2018-10-15 7:04,mortimer
216,1,15,27,15,2018-10-15 7:04,mortimer
73,1,5,12,21,2018-10-15 7:04,mortimer
134,1,9,2,4,2018-10-15 7:04,mortimer
256,1,17,1,25,2018-10-15 7:04,mortimer
113,1,8,26,22,2018-10-15 7:04,mortimer
235,1,16,18,19,2018-10-15 7:04,mortimer
92,1,7,7,17,2018-10-15 7:04,mortimer
132,1,9,1,14,2018-10-15 7:04,mortimer
254,1,17,30,14,2018-10-15 7:04,mortimer
111,1,8,32,1,2018-10-15 7:04,mortimer
90,1,6,31,2,2018-10-15 7:04,mortimer
151,1,11,13,20,2018-10-15 7:04,mortimer
8,1,1,16,27,2018-10-15 7:04,mortimer
130,1,9,12,25,2018-10-15 7:04,mortimer
252,1,17,11,23,2018-10-15 7:04,mortimer
109,1,8,15,5,2018-10-15 7:04,mortimer
170,1,12,4,9,2018-10-15 7:04,mortimer
149,1,11,11,18,2018-10-15 7:04,mortimer
6,1,1,13,8,2018-10-15 7:04,mortimer
128,1,9,27,18,2018-10-15 7:04,mortimer
168,1,12,22,15,2018-10-15 7:04,mortimer
